date,Adjusted_Close,log_return,split
2020-01-03,104.37898254394531,-0.010445677324592525,train
2020-01-06,103.3917465209961,-0.009503200544391771,train
2020-01-07,103.57583618164062,0.0017789231220431741,train
2020-01-08,103.24115753173828,-0.0032364742957840076,train
2020-01-09,103.32481384277344,0.0008099718947132883,train
2020-01-10,104.35388946533203,0.009910347365487755,train
2020-01-13,103.63436889648438,-0.00691888517994547,train
2020-01-14,104.79729461669922,0.011158935912711363,train
2020-01-15,97.88667297363281,-0.06821754552959391,train
2020-01-16,97.31775665283203,-0.005828944893398672,train
2020-01-17,97.81974029541016,0.005144933779871246,train
2020-01-21,95.41023254394531,-0.0249405681116003,train
2020-01-22,95.2930908203125,-0.0012285233031022788,train
2020-01-23,96.65682220458984,0.014209481093816834,train
2020-01-24,95.64447021484375,-0.010528908352728452,train
2020-01-27,96.8659896850586,0.01269059213437129,train
2020-01-28,96.58151245117188,-0.0029411332357582396,train
2020-01-29,95.60264587402344,-0.010186844228571756,train
2020-01-30,95.93730926513672,0.003494453482811787,train
2020-01-31,92.6493148803711,-0.034873391666947084,train
2020-02-03,94.13017272949219,0.015857082570700433,train
2020-02-04,94.74927520751953,0.00655555384096353,train
2020-02-05,96.65682220458984,0.019932595455158412,train
2020-02-06,96.33052062988281,-0.0033815884591858903,train
2020-02-07,96.72373962402344,0.004073668588354953,train
2020-02-10,97.86993408203125,0.011780523918969003,train
2020-02-11,97.6273193359375,-0.0024820284316390837,train
2020-02-12,98.81535339355469,0.012095625920805514,train
2020-02-13,98.95757293701172,0.0014382106854586812,train
2020-02-14,97.57713317871094,-0.014048027319496293,train
2020-02-18,99.14212036132812,0.015911205143052574,train
2020-02-19,98.77189636230469,-0.0037412653938283056,train
2020-02-20,99.50393676757812,0.007384094369083356,train
2020-02-21,98.4521713256836,-0.010626348932169415,train
2020-02-24,95.73445129394531,-0.027992633653662054,train
2020-02-25,94.00114440917969,-0.01827126953768366,train
2020-02-26,93.10929107666016,-0.00953298071619332,train
2020-02-27,88.86863708496094,-0.04661468446575791,train
2020-02-28,86.66415405273438,-0.025118941351752834,train
2020-03-02,91.76304626464844,0.05716932021833977,train
2020-03-03,89.05374145507812,-0.02996964637616734,train
2020-03-04,90.7197036743164,0.018534549527420445,train
2020-03-05,89.1631088256836,-0.017307197746010743,train
2020-03-06,89.14628601074219,-0.0001886924130582266,train
2020-03-09,87.5307846069336,-0.018288127871224646,train
2020-03-10,91.1488265991211,0.040503072179144436,train
2020-03-11,88.83497619628906,-0.025713179212737268,train
2020-03-12,77.93043518066406,-0.13096387644297053,train
2020-03-13,84.99818420410156,0.08681332186678394,train
2020-03-16,78.91486358642578,-0.0742602987220707,train
2020-03-17,87.19424438476562,0.09976872873928072,train
2020-03-18,86.51271057128906,-0.00784697781121342,train
2020-03-19,84.56068420410156,-0.02282191328957499,train
2020-03-20,81.95231628417969,-0.03133186348091219,train
2020-03-23,81.35494232177734,-0.007315983771540486,train
2020-03-24,84.61116790771484,0.039244680643843205,train
2020-03-25,76.60102844238281,-0.09945576346808015,train
2020-03-26,80.83328247070312,0.05377828968363172,train
2020-03-27,79.7142105102539,-0.013940922575016583,train
2020-03-30,80.78279113769531,0.013316091968466004,train
2020-03-31,78.22491455078125,-0.032175764671705305,train
2020-04-01,80.1601333618164,0.024438103827925772,train
2020-04-02,79.39446258544922,-0.00959767594680883,train
2020-04-03,77.88837432861328,-0.019151921744474863,train
2020-04-06,82.04488372802734,0.051989756713738955,train
2020-04-07,82.67593383789062,0.007662094038583274,train
2020-04-08,88.03563690185547,0.06281314320438366,train
2020-04-09,87.67383575439453,-0.0041181804636844736,train
2020-04-13,88.07772064208984,0.004596096978618711,train
2020-04-14,91.19090270996094,0.03473552730671312,train
2020-04-15,89.39028930664062,-0.019943085568834226,train
2020-04-16,91.96499633789062,0.028395974513353774,train
2020-04-17,95.43153381347656,0.03700103689302818,train
2020-04-20,91.69573974609375,-0.039933147375039266,train
2020-04-21,89.94562530517578,-0.01927059510579732,train
2020-04-22,89.89512634277344,-0.0005615964487119457,train
2020-04-23,87.38777160644531,-0.02828836812253016,train
2020-04-24,90.7197036743164,0.037419213694500686,train
2020-04-27,92.45298767089844,0.01892570032672641,train
2020-04-28,94.23676300048828,0.019110096922298286,train
2020-04-29,94.3208999633789,0.0008924269335138349,train
2020-04-30,92.3351821899414,-0.02127755674352941,train
2020-05-01,91.0646743774414,-0.013855279508211605,train
2020-05-04,93.99275207519531,0.03164771218586488,train
2020-05-05,94.03483581542969,0.00044763368406954316,train
2020-05-06,95.56616973876953,0.01615357700584144,train
2020-05-07,95.38104248046875,-0.0019390418341689206,train
2020-05-08,97.45931243896484,0.02155514001821508,train
2020-05-11,101.11943054199219,0.03686731628734866,train
2020-05-12,100.45470428466797,-0.006595376608918307,train
2020-05-13,100.24434661865234,-0.0020962505014294015,train
2020-05-14,100.91747283935547,0.006692410467019656,train
2020-05-15,101.75886535644531,0.008302867105318723,train
2020-05-18,105.34323120117188,0.03461793826642065,train
2020-05-19,104.18441009521484,-0.011061384687180001,train
2020-05-20,101.19005584716797,-0.029162013271185977,train
2020-05-21,100.38650512695312,-0.007972702508013118,train
2020-05-22,99.37993621826172,-0.010077542760077714,train
2020-05-26,97.37525939941406,-0.020378076267987592,train
2020-05-27,99.31227111816406,0.01969697152190228,train
2020-05-28,100.17503356933594,0.008649851997712316,train
2020-05-29,103.47389221191406,0.032400340095928265,train
2020-06-01,101.0716323852539,-0.0234898347324089,train
2020-06-02,100.5302963256836,-0.005370358945235493,train
2020-06-03,102.96638488769531,0.023943436601522806,train
2020-06-04,101.46920013427734,-0.014647269169314098,train
2020-06-05,102.79721069335938,0.013002913840302364,train
2020-06-08,103.50773620605469,0.006888136544434286,train
2020-06-09,102.112060546875,-0.013575512822910177,train
2020-06-10,101.50303649902344,-0.005982128760496942,train
2020-06-11,99.81977844238281,-0.016722369813296827,train
2020-06-12,98.88087463378906,-0.009450505390896485,train
2020-06-15,99.93820190429688,0.01063617492541984,train
2020-06-16,100.8348159790039,0.008931678616567533,train
2020-06-17,100.03970336914062,-0.00791655173621297,train
2020-06-18,99.2192153930664,-0.008235441790625376,train
2020-06-19,101.97671508789062,0.027412804679732762,train
2020-06-22,103.55848693847656,0.01539204052294532,train
2020-06-23,102.77183532714844,-0.007625204228430479,train
2020-06-24,101.26619720458984,-0.014758674482658826,train
2020-06-25,101.34231567382812,0.0007513847442846388,train
2020-06-26,98.98236846923828,-0.023562312324479938,train
2020-06-29,100.29344940185547,0.013158644780558585,train
2020-06-30,101.44383239746094,0.01140488713489156,train
2020-07-01,100.62333679199219,-0.008121063091802909,train
2020-07-02,100.75868225097656,0.001344166475298051,train
2020-07-06,100.86019134521484,0.0010069404813608579,train
2020-07-07,99.862060546875,-0.009945474567124473,train
2020-07-08,99.55755615234375,-0.0030539084993852004,train
2020-07-09,99.72673797607422,0.001697894609448821,train
2020-07-10,100.53874969482422,0.0081093969627026,train
