Date,Close,High,Low,Open,Volume
2020-01-02,105.47500610351562,107.84268799782495,104.79733102107477,107.70883555190166,5149800
2020-01-03,104.37898254394531,105.02319114276983,103.6845713131688,104.29532000141577,5018500
2020-01-06,103.3917465209961,104.28694910705892,103.09055626932611,103.7180348964648,4226900
2020-01-07,103.57583618164062,104.10291607426083,102.90652291030703,102.90652291030703,3641600
2020-01-08,103.24115753173828,104.78893696073736,103.19095489811416,103.78497365085771,5731600
2020-01-09,103.32481384277344,104.50447672459595,102.6220408448693,103.32481384277344,5369700
2020-01-10,104.35388946533203,105.16542318845585,103.78497521236244,104.33715312619117,4678000
2020-01-13,103.63436889648438,104.31204374859762,102.84792700081744,104.23674299667255,3632800
2020-01-14,104.79729461669922,105.13195114743336,103.2746134657492,103.40847224821741,3291900
2020-01-15,97.88667297363281,99.89460600354673,96.68191187907584,98.29662391934723,26743400
2020-01-16,97.31775665283203,98.15439486559126,96.90780571583205,98.00379973197288,9361600
2020-01-17,97.81974029541016,98.54761785322516,97.19226162306576,97.45998560127765,7303800
2020-01-21,95.41023254394531,97.6022271888974,95.22617109656963,97.6022271888974,8188000
2020-01-22,95.2930908203125,96.28032413675423,95.18432377080441,95.49388219803407,5070600
2020-01-23,96.65682220458984,96.69028850270288,94.62379087128939,94.98354559719996,4641500
2020-01-24,95.64447021484375,97.05002252046178,95.07555603440211,97.05002252046178,4338900
2020-01-27,96.8659896850586,97.2257444403262,94.18038127700966,94.49830156046121,6779200
2020-01-28,96.58151245117188,97.4348805765968,96.57314428221439,97.17552478629914,3865100
2020-01-29,95.60264587402344,97.1169653813382,95.58591591828782,96.86597136400296,5250600
2020-01-30,95.93730926513672,95.97077556203315,94.4480941599845,95.18433354257564,4466400
2020-01-31,92.6493148803711,95.20106400967873,92.33976282350115,94.88314378334002,6961900
2020-02-03,94.13017272949219,94.88314844257776,92.86684716548436,92.98397601162618,5186000
2020-02-04,94.74927520751953,96.04606695783738,94.7074407447185,95.07556359163048,3626000
2020-02-05,96.65682220458984,96.9663806748527,95.25126959906059,95.38513479151275,3636700
2020-02-06,96.33052062988281,97.36795019762694,96.01260041576329,97.0416618143603,4024800
2020-02-07,96.72373962402344,96.75720591688533,95.76160444913285,96.23011978311392,2970800
2020-02-10,97.86993408203125,98.08745540632188,96.71536934414492,96.71536934414492,3862000
2020-02-11,97.6273193359375,98.00380399483788,96.31379754009305,97.94523957271907,3065100
2020-02-12,98.81535339355469,99.35080141262976,97.4432670467943,97.60223037162855,3764800
2020-02-13,98.95757293701172,99.14163437655048,98.23806351865657,98.58945005793419,2654900
2020-02-14,97.57713317871094,99.10818296514034,97.30104736098062,98.97432414185359,3289100
2020-02-18,99.14212036132812,99.17577711699433,97.89684607915792,98.40168457541134,3122500
2020-02-19,98.77189636230469,99.39453025521377,98.48582358588165,99.02431880451155,2866700
2020-02-20,99.50393676757812,99.52917773311457,98.08196912823185,98.41853031391608,2659300
2020-02-21,98.4521713256836,100.02558450656012,98.2754781758222,99.14211875725316,3856500
2020-02-24,95.73445129394531,97.59394375291876,95.1791308621821,96.32343490145345,5304900
